gvkey,fyear,at,ebit,ebitda,ni,ppent,sale,naics
002352,2017.0,1050.223,131.015,158.318,95.645,98.103,1113.316,339950
002369,2017.0,241227.624,,,,66834.522,,523
002369,2017.0,192720.0,7138.0,9472.0,1462.0,110265.0,41966.0,523
002390,2017.0,97.545,12.828,16.194,8.829,18.571,167.223,311612
002393,2017.0,1450.979,86.291,141.646,56.65,364.88,1786.103,333618
002403,2017.0,33551.0,4220.0,5092.0,1007.0,5001.0,20776.0,325412
002408,2017.0,29548.0,2629.0,4811.0,1460.0,11368.0,13202.0,517312
002410,2017.0,276515.0,8874.0,24587.0,3389.0,129471.0,240208.0,324110
002411,2017.0,59978.049,5229.266,10158.354,2850.286,23845.9,33243.99,517311
002435,2017.0,4976.0,1093.0,1157.0,717.0,780.0,3248.0,312140
002436,2017.0,1489.415,149.885,213.955,87.2,212.799,2785.584,316210
002444,2017.0,3358.2,501.6,599.8,146.4,659.5,4510.0,333618
002448,2017.0,791.084,54.687,97.438,11.451,255.578,1139.447,331410
002485,2017.0,92.496,4.613,7.779,4.597,60.897,11.805,336111
002490,2017.0,84523.0,7347.0,9699.0,11300.0,62313.0,21387.0,482111
002497,2017.0,4066.576,407.119,595.168,347.213,706.506,6606.978,237130
002504,2017.0,2542.4,134.2,237.0,-65.3,142.5,2741.8,541512
002519,2017.0,41.431,2.123,3.883,0.341,10.276,48.26,561110
002526,2017.0,5719.2,381.2,570.3,347.0,1803.9,2830.0,333318
002536,2017.0,1209.253,38.817,121.518,23.48,156.533,917.406,519130
002547,2017.0,61753.0,4369.0,4935.0,2237.0,1563.0,41616.0,524114
002547,2017.0,61753.0,,,,1563.0,,524114
002556,2017.0,365.188,13.824,24.362,-36.52,52.126,361.896,322220
002558,2017.0,56567.0,,,,326.0,,524126
002558,2017.0,56567.0,1355.0,1443.0,899.0,326.0,9419.0,524126
002573,2017.0,58.928,3.772,4.445,2.506,1.508,111.482,541512
002574,2017.0,35739.0,3700.0,5015.0,5471.0,31764.0,11408.0,482111
002577,2017.0,539.696,57.048,77.722,14.448,88.247,422.993,33441
002578,2017.0,74.421,0.414,2.413,-5.833,16.344,107.727,541512
002581,2017.0,58.978,7.218,8.085,5.261,28.839,41.129,333249
002593,2017.0,3314.0,339.0,494.0,241.0,1305.0,2717.0,325180
002596,2017.0,3911.082,297.977,370.374,163.671,91.749,4354.617,541512
002615,2017.0,472.993,15.399,38.356,16.617,21.262,365.912,334220
002620,2017.0,154550.0,2584.0,2584.0,1077.0,610.0,6189.0,522110
002620,2017.0,154550.0,,,,610.0,,522110
002626,2017.0,1.973,-3.305,-3.302,-13.927,0.012,2.874,312111
002628,2017.0,2740.375,123.551,200.334,67.181,2036.971,666.89,221310
002663,2017.0,7726.0,1677.0,1995.0,887.0,2454.0,7890.0,311422
002675,2017.0,2632.57,238.864,356.053,164.089,1116.309,3522.226,3116
002696,2017.0,37629.0,5558.0,6839.0,5484.0,34189.0,13041.0,482111
002698,2017.0,20135.0,2742.0,3403.0,2405.0,17016.0,6554.0,482111
002703,2017.0,15624.2,1225.3,1686.2,735.0,4193.3,13434.9,441320
002710,2017.0,20538.7,2447.5,2747.2,2318.9,4789.7,7585.0,312120
002721,2017.0,46129.124,3242.444,5566.351,2146.801,9997.513,36205.653,333316
002735,2017.0,15.159,1.682,1.867,6.001,8.953,5.247,531190
002751,2017.0,40112.0,2362.0,3071.0,1288.0,1879.0,129976.0,424210
002771,2017.0,5299.8,555.5,720.9,365.5,780.9,4089.9,324122
002777,2017.0,1.611,-0.435,-0.435,0.572,0.879,0.0,212221
002783,2017.0,49688.0,2360.0,3645.0,1258.0,31887.0,9783.0,2211
002787,2017.0,2878.1,100.9,218.7,47.0,1316.8,1797.6,331110
002807,2017.0,3469.927,265.377,486.347,317.903,2902.92,7472.124,447110
002811,2017.0,332.285,-24.088,-10.725,22.863,56.927,518.868,423510
002817,2017.0,76962.0,6521.0,9399.0,754.0,14155.0,45462.0,333120
002818,2017.0,516.076,10.976,30.619,8.54,109.368,849.981,448120
002820,2017.0,674.78,70.373,74.399,61.502,63.355,871.235,321992
002829,2017.0,25.06,0.35,1.227,0.382,0.711,30.964,334417
002849,2017.0,87320.579,1277.427,1541.652,458.781,1214.874,3812.381,522110
002849,2017.0,87320.579,,,,1214.874,,522110
002865,2017.0,180.4,-15.1,-11.0,-14.9,37.6,600.8,423510
002884,2017.0,75611.0,2356.0,6298.0,1389.0,26852.0,17656.0,517311
002940,2017.0,2957.234,160.01,275.716,110.207,158.638,5838.583,561110
002942,2017.0,786.373,118.078,151.53,71.378,88.338,770.157,334510
002960,2017.0,920.026,209.322,244.947,98.177,143.034,1666.724,621610
002968,2017.0,2533600.0,52778.0,58957.0,24441.0,14159.0,113254.0,522110
002968,2017.0,2533600.0,,,,14159.0,,522110
002986,2017.0,1417.434,85.713,122.312,58.124,1126.027,617.583,221210
