,PERMNO,date,TICKER,COMNAM,PRC,VOL,RET
80253,10495,6/30/1966,A,ANACONDA CO,83.25,2089,-0.01462
80254,10495,7/29/1966,A,ANACONDA CO,81.5,1967,-0.021021
80255,10495,8/31/1966,A,ANACONDA CO,67.125,4729,-0.161043
80256,10495,9/30/1966,A,ANACONDA CO,71,2271,0.057728
80257,10495,10/31/1966,A,ANACONDA CO,78,2589,0.098592
80258,10495,11/30/1966,A,ANACONDA CO,2,2474,0.057692
80259,10495,12/30/1966,A,ANACONDA CO,80,1655,-0.009288
80260,10495,1/31/1967,A,ANACONDA CO,92.5,3579,0.15625
80261,10495,2/28/1967,A,ANACONDA CO,88.375,2728,-0.044595
80262,10495,3/31/1967,A,ANACONDA CO,83.25,3901,-0.046676
80263,10495,4/28/1967,A,ANACONDA CO,87.875,2276,0.055556
80264,10495,5/31/1967,A,ANACONDA CO,91,2794,0.049787
80265,10495,6/30/1967,A,ANACONDA CO,47.625,4772,0.046703
80266,10495,7/31/1967,A,ANACONDA CO,48.125,3158,0.010499
80267,10495,8/31/1967,A,ANACONDA CO,49.25,5313,0.036364
80268,10495,9/29/1967,A,ANACONDA CO,48.75,2518,-0.010152
80269,10495,10/31/1967,A,ANACONDA CO,44.5,4007,-0.087179
80270,10495,11/30/1967,A,ANACONDA CO,45.75,3281,0.042135
80271,10495,12/29/1967,A,ANACONDA CO,47.375,2630,0.035519
80272,10495,1/31/1968,A,ANACONDA CO,46.75,4309,-0.013193
80273,10495,2/29/1968,A,ANACONDA CO,40.875,4197,-0.117647
80274,10495,3/29/1968,A,ANACONDA CO,41.5,5271,0.015291
80275,10495,4/30/1968,A,ANACONDA CO,46.5,7635,0.120482
80276,10495,5/31/1968,A,ANACONDA CO,49.75,9017,0.083333
80277,10495,6/28/1968,A,ANACONDA CO,51.25,7093,0.030151
80278,10495,7/30/1968,A,ANACONDA CO,45.375,6097,-0.114634
80279,10495,8/30/1968,A,ANACONDA CO,44.25,3267,-0.011019
80280,10495,9/30/1968,A,ANACONDA CO,49.5,4557,0.118644
80281,10495,10/31/1968,A,ANACONDA CO,52,5080,0.050505
80282,10495,11/29/1968,A,ANACONDA CO,57.375,4376,0.103365
80283,10495,12/31/1968,A,ANACONDA CO,64.5,7282,0.135076
80284,10495,1/31/1969,A,ANACONDA CO,58.25,6783,-0.096899
80285,10495,2/28/1969,A,ANACONDA CO,52,4363,-0.107296
80286,10495,3/28/1969,A,ANACONDA CO,52.125,2659,0.014423
80287,10495,4/30/1969,A,ANACONDA CO,53,3994,0.016787
80288,10495,5/29/1969,A,ANACONDA CO,43.25,9599,-0.183962
80289,10495,6/30/1969,A,ANACONDA CO,31.125,11235,-0.265896
80290,10495,7/31/1969,A,ANACONDA CO,30.5,15430,-0.02008
80291,10495,8/29/1969,A,ANACONDA CO,29,8667,-0.033607
80292,10495,9/30/1969,A,ANACONDA CO,27.125,4670,-0.064655
80293,10495,10/31/1969,A,ANACONDA CO,30.25,9399,0.115207
80294,10495,11/28/1969,A,ANACONDA CO,30.125,4327,-0.004132
80295,10495,12/31/1969,A,ANACONDA CO,30.125,6391,0.015768
80296,10495,1/30/1970,A,ANACONDA CO,27.5,4072,-0.087137
80297,10495,2/27/1970,A,ANACONDA CO,29.5,4553,0.072727
80298,10495,3/31/1970,A,ANACONDA CO,29.125,5802,0.00339
80299,10495,4/30/1970,A,ANACONDA CO,27.125,3980,-0.06867
80300,10495,5/29/1970,A,ANACONDA CO,26.5,5604,-0.023041
80301,10495,6/30/1970,A,ANACONDA CO,24,2490,-0.076415
80302,10495,7/31/1970,A,ANACONDA CO,24,2626,0
80303,10495,8/31/1970,A,ANACONDA CO,23.5,2590,-0.020833
80304,10495,9/30/1970,A,ANACONDA CO,21.75,5728,-0.054255
80305,10495,10/30/1970,A,ANACONDA CO,19.375,6277,-0.109195
